idImpianto;Gestore;Bandiera;Tipo Impianto;Nome Impianto;Indirizzo;Comune;Provincia;Latitudine;Longitudine
23778;ALFONSO DI BENEDETTO CARBURANTI LUBRIFICANTI SRL;Sicilpetroli;Altro;A. Di Benedetto srl Via Imera Ag;VIA IMERA 10 92100;AGRIGENTO;AG;37.3123909274457;13.5859130957008
20438;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;Altro;AGRIGENTO EX S.S.115 KM 191+222 VIL.MOSE;EX S.S.115 KM 191+222 VIL.MOSE  92100;AGRIGENTO;AG;37.2743198736758;13.6142363374344
25614;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;Altro;AGRIGENTO VIA FOSSE ARDEATINE LOC.VILLASETA;VIA FOSSE ARDEATINE LOC.VILLASETA  92100;AGRIGENTO;AG;37.2958288325112;13.547611503041
43380;ELETTRONIA SERVICE S.N.C. DI MIGLIORINO FRANCESCO E TUTTOLOMONDO BALDASSARE;Esso;Strada Statale;AREA BORSELLINO;Strada Statale, Km. 141+42, RAFFADALI-AGRIGENTO 92100;AGRIGENTO;AG;37.3495995330546;13.5586416938658
39653;ALBA ALESSANDRO;Agip Eni;Altro;AREA SI SERVIZIO ENI;CONTRADA SAN MICHELE SNC 92100;AGRIGENTO;AG;37.3339829471608;13.5955582559109
9254;DISTEFANO CARBURANTI DI DISTEFANO FABIO E C. S.A.S.;Q8;Strada Statale;BAR DELLA VALLE;Statale 640 di Porto Empedocle, Km. 10, dir. AG CL 92100;AGRIGENTO;AG;37.3114503438007;13.6086487770081
43389;ELLEVI S.A.S. DI MESSINA LUIGI E MESSINA VITTORIO;Q8;Altro;Ellevi sas Q8;VIALE EMPORIUM 192/BIS 92100;AGRIGENTO;AG;37.2740772160303;13.5853383803913
27962;NOBILE OIL GROUP S.P.A.;Agip Eni;Altro;Eni - Via Imera;VIA IMERA SN 92100;AGRIGENTO;AG;37.3167057610569;13.5807940363884
21524;NOBILE OIL GROUP S.P.A.;Agip Eni;Altro;ENI - Vill. Mosè;VIA LEONARDO SCIASCIA SN 92100;AGRIGENTO;AG;37.2711799039093;13.6267215013504
24949;ERRIU ENRICO;Sicilpetroli;Altro;ERRIU ENRICO;VIA FRANCESCO CRISPI 12 92100;AGRIGENTO;AG;37.3082349294494;13.5865773681229
